dataset_id,base_dataset_id,severity,candidate_index,candidate_id,lipid_name,X_hat,rho_zero,rho_zero_status,raw_solver_reported,candidate_truth,molecular_truth,reportable_truth,cone_isolation,max_fragment_cosine,max_full_cosine,lipid_class,collective_gain,pair_id,unit_id,role,spectral_score_CAL,spectral_score_HOLD,joint_hard_score,joint_easy_score,fragment_cosine,fragment_support_jaccard,full_cosine,parent_cosine,base_template_id,realized_spatial_correlation,abundance_multiplier,K,replicate,split
MILD__CAL_R2_K050,CAL_R2_K050,MILD,54,PA-H__0225,PA 20:1_22:3,0.00031571261320047705,,NOT_COMPUTED,False,False,False,False,0.33476954438953394,0.8781031661032047,0.8136488404920164,PA,0.24658711409645712,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,55,PA-H__0226,PA 20:1_22:4,0.0030800755530052733,0.0,COMPUTED,True,False,False,False,0.34668458838690386,0.780619943822926,0.7254488250437023,PA,0.3415915206294644,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,56,PA-H__0227,PA 20:1_22:5,0.0016240373364361782,0.0,COMPUTED,True,False,False,False,0.22030580527220145,0.8930555529932804,0.8753112931195504,PA,0.2632540567277174,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,57,PA-H__0228,PA 20:1_22:6,0.0014273126449556198,0.0,COMPUTED,True,False,False,False,0.23670331410171605,0.9753576763078726,0.8753112931195504,PA,0.2468565478982028,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,58,PA-H__0236,PA 20:2_20:2,0.021879362528326916,3.766770789322784e-05,COMPUTED,True,True,True,True,0.4107496994340883,0.9505388151236878,0.7219248581633445,PA,0.2812217589121609,B1_U59_U80,80,spectral_hard_spatial_low,0.679983579638752,0.7071789819376026,0.679983579638752,0.7071789819376026,0.12131038262682024,0.13592233009708737,0.062262277778382835,0.0,86,-0.20829698475144195,0.5,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,59,PA-H__0237,PA 20:2_20:3,0.0,,NOT_COMPUTED,False,False,False,False,0.5731558925579161,0.7541480424155057,0.5477421399094071,PA,0.2634913139559546,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,60,PA-H__0241,PA 22:1_20:2,0.0,,NOT_COMPUTED,False,False,False,False,0.43337633237958284,0.8789327040599717,0.709852279634953,PA,0.27097424872123554,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,61,PA-H__0244,PA 20:2_22:4,5.310545108945328e-07,,NOT_COMPUTED,False,False,False,False,0.37047771471182533,0.7482238559770684,0.6566445052131067,PA,0.3837225198236953,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,62,PA-H__0246,PA 20:2_22:6,0.0,,NOT_COMPUTED,False,False,False,False,0.2611282723143124,0.9505388151236878,0.8852934172669955,PA,0.20390459248529008,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
MILD__CAL_R2_K050,CAL_R2_K050,MILD,63,PA-H__0257,PA 22:0_20:3,0.0,,NOT_COMPUTED,False,False,False,False,0.4070101497165706,0.700138513759436,0.6042594435163927,PA,0.38977747877753405,,,UNASSIGNED_FALSE_POSITIVE,,,,,,,,,,,,50,R2,CAL
