dataset_id,severity,split,lipid_name,molecular_truth,reportable_truth,raw_solver_reported,X_hat,rho_zero
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 14:0_22:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:0_20:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:1_20:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:0_18:2,True,True,True,0.0283524485073199,9.0373999464409e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:1_18:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 14:0_22:1,True,True,True,0.010105058582049822,5.588022869670478e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:0_20:1,True,True,True,0.004471989843752609,2.4123704553916027e-09
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 20:0_16:1,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:0_18:1,False,False,True,0.004186742130736968,1.8163889687162009e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 14:0_22:0,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:0_20:0,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:0_18:0,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:1_22:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:2_20:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:3_20:4,True,True,True,0.017821078709601163,2.4831613807930374e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:0_22:6,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:1_22:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:1_20:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:2_20:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:0_22:5,True,True,True,0.006837629781120172,2.975298096708245e-09
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:1_22:4,True,True,True,0.0038987526444808694,5.015221086950982e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:0_20:5,False,False,True,0.002614354238379385,0.0
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:1_20:4,False,False,True,0.0023199895899575817,0.0
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 18:2_20:3,True,True,True,0.028468646503976354,1.1033583563929424e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 20:2_18:3,True,True,True,0.005061389284474289,2.983311290310958e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 14:0_24:4,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:0_22:4,False,False,True,0.003296096404698769,2.939849484682469e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PG 16:1_22:3,False,False,False,0,
