score,threshold,TP,FP,FDR,precision,all_truth_recall,TP_retention,reportable_truth_recall,coverage,solver_FN,post_solver_true_loss
rho_zero,6.700814181229838e-07,74,28,0.27450980392156865,0.7254901960784313,0.592,0.592,0.592,0.4834123222748815,0,51
rho_zero,6.277114508113899e-07,75,28,0.27184466019417475,0.7281553398058253,0.6,0.6,0.6,0.4881516587677725,0,50
rho_zero,6.149296007707211e-07,75,29,0.27884615384615385,0.7211538461538461,0.6,0.6,0.6,0.4928909952606635,0,50
rho_zero,5.849226620613857e-07,76,29,0.2761904761904762,0.7238095238095238,0.608,0.608,0.608,0.4976303317535545,0,49
rho_zero,5.334277806883081e-07,76,30,0.2830188679245283,0.7169811320754716,0.608,0.608,0.608,0.5023696682464455,0,49
rho_zero,5.135593729843997e-07,76,31,0.2897196261682243,0.7102803738317757,0.608,0.608,0.608,0.5071090047393365,0,49
rho_zero,4.909797534784071e-07,77,31,0.28703703703703703,0.7129629629629629,0.616,0.616,0.616,0.5118483412322274,0,48
rho_zero,4.6317622135604945e-07,77,32,0.29357798165137616,0.7064220183486238,0.616,0.616,0.616,0.5165876777251185,0,48
rho_zero,3.4730254983860087e-07,77,33,0.3,0.7,0.616,0.616,0.616,0.5213270142180095,0,48
rho_zero,3.117458540529789e-07,77,34,0.3063063063063063,0.6936936936936937,0.616,0.616,0.616,0.5260663507109005,0,48
rho_zero,2.826494926257116e-07,77,35,0.3125,0.6875,0.616,0.616,0.616,0.5308056872037915,0,48
rho_zero,2.76889556343824e-07,78,35,0.30973451327433627,0.6902654867256637,0.624,0.624,0.624,0.5355450236966824,0,47
rho_zero,2.7244209733859825e-07,78,36,0.3157894736842105,0.6842105263157895,0.624,0.624,0.624,0.5402843601895735,0,47
rho_zero,2.4007984944727786e-07,78,37,0.3217391304347826,0.6782608695652174,0.624,0.624,0.624,0.5450236966824644,0,47
rho_zero,2.2826099457679038e-07,78,38,0.3275862068965517,0.6724137931034483,0.624,0.624,0.624,0.5497630331753555,0,47
rho_zero,2.0194499964437213e-07,78,39,0.3333333333333333,0.6666666666666666,0.624,0.624,0.624,0.5545023696682464,0,47
rho_zero,1.9880644236884497e-07,79,39,0.3305084745762712,0.6694915254237288,0.632,0.632,0.632,0.5592417061611374,0,46
rho_zero,1.6863483420901576e-07,79,40,0.33613445378151263,0.6638655462184874,0.632,0.632,0.632,0.5639810426540285,0,46
rho_zero,1.5799702338861383e-07,79,41,0.3416666666666667,0.6583333333333333,0.632,0.632,0.632,0.5687203791469194,0,46
rho_zero,1.5317974788045981e-07,79,42,0.34710743801652894,0.6528925619834711,0.632,0.632,0.632,0.5734597156398105,0,46
rho_zero,1.3451901312723516e-07,80,42,0.3442622950819672,0.6557377049180327,0.64,0.64,0.64,0.5781990521327014,0,45
