dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_16:0,PC,0.0,,NOT_COMPUTED,False,False,False,[830]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_16:1,PC,0.003037142220003355,2.5989345964524793e-30,COMPUTED,True,False,False,[831]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_17:0,PC,0.000529675764844722,,NOT_COMPUTED,False,False,False,"[744, 844]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_17:1,PC,0.0008771953419601888,,NOT_COMPUTED,False,False,False,"[745, 845]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_18:0,PC,0.0,,NOT_COMPUTED,False,False,False,"[722, 832]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_18:1,PC,1.0739108717519843e-07,,NOT_COMPUTED,False,False,False,"[723, 833]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_18:2,PC,0.0,,NOT_COMPUTED,False,False,False,"[724, 834]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_18:3,PC,2.3998115203842315e-05,,NOT_COMPUTED,False,False,False,"[725, 835]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_20:0,PC,0.00044487310366640427,,NOT_COMPUTED,False,False,False,[726]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_20:1,PC,0.006155039741092405,2.050551362642455e-06,COMPUTED,True,True,True,[727]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_20:2,PC,0.0007176024052243449,,NOT_COMPUTED,False,False,False,[728]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_20:3,PC,0.0,,NOT_COMPUTED,False,False,False,[729]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_20:4,PC,1.2256936660415858e-05,,NOT_COMPUTED,False,False,False,[730]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 13:0_20:5,PC,2.0523467802585575e-05,,NOT_COMPUTED,False,False,False,"[731, 836]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_15:0,PC,0.00032194345171424716,,NOT_COMPUTED,False,False,False,[837]
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_16:0,PC,0.0,,NOT_COMPUTED,False,False,False,"[712, 821]"
D0__CAL_R1_K125,D0,125,CAL,R1,PC 14:0_16:1,PC,3.2089693306737177e-06,,NOT_COMPUTED,False,False,False,"[713, 822]"
