domain,lipid_name,molecular_truth,NNLS_rho,ISTA_rho,absolute_difference
MILD,PE O-16:0_22:1,False,6.849512970555647e-07,6.849512970555647e-07,0.0
MILD,PE O-16:0_22:2,True,1.9880644236884497e-07,1.9880644236884497e-07,0.0
MILD,PE O-16:0_22:3,True,1.3451901312723516e-07,1.3451901312723516e-07,0.0
MILD,PE O-16:1_22:0,True,6.277114508113899e-07,6.277114508113899e-07,0.0
MILD,PE O-16:1_22:1,False,0.0,0.0,0.0
MILD,PE O-16:1_22:2,True,9.265220323001758e-08,9.265220323001758e-08,0.0
MILD,PE O-16:1_22:3,False,1.3405515272793722e-06,1.3405515272793722e-06,0.0
MILD,PE O-16:1_22:4,True,2.3008224439347147e-06,2.3008224439347147e-06,0.0
MILD,PE O-16:1_22:5,True,8.989085445777163e-08,8.989085445777163e-08,0.0
MILD,PE O-16:1_24:0,False,7.142282267242483e-07,7.142282267242483e-07,0.0
MILD,PE O-16:1_24:1,True,2.9014858644664996e-05,2.9014858644664996e-05,0.0
MILD,PE O-18:0_20:1,False,3.776652699052412e-08,3.776652699052412e-08,0.0
MILD,PE O-18:0_20:3,False,4.6317622135604945e-07,4.6317622135604945e-07,0.0
MILD,PE O-18:0_20:4,False,3.901584895451474e-08,3.901584895451474e-08,0.0
MILD,PE O-18:0_22:1,True,2.365642657630528e-05,2.365642657630528e-05,0.0
MILD,PE O-18:0_22:2,True,7.132819448251793e-07,7.132819448251793e-07,0.0
MILD,PE O-18:1_20:1,True,3.711634532459841e-06,3.711634532459841e-06,0.0
MILD,PE O-18:1_20:2,False,0.0,0.0,0.0
MILD,PE O-18:1_20:3,False,0.0,0.0,0.0
MILD,PE O-18:1_20:4,True,1.7406337881408617e-06,1.7406337881408617e-06,0.0
MILD,PE O-18:1_22:1,True,0.0,0.0,0.0
MILD,PE O-18:1_22:2,True,4.6078165220098575e-06,4.6078165220098575e-06,0.0
MILD,PE O-18:1_22:3,True,0.0,0.0,0.0
MILD,PE O-18:1_22:4,True,0.0,0.0,0.0
MILD,PE O-18:1_22:5,True,1.9403014256663548e-05,1.9403014256663548e-05,0.0
MILD,PE O-18:1_22:6,True,0.0,0.0,0.0
MILD,PE O-18:2_20:2,True,0.0,0.0,0.0
MILD,PE O-18:2_20:3,False,9.072898632226733e-07,9.072898632226733e-07,0.0
MILD,PE O-18:2_20:4,True,7.658890297915767e-06,7.658890297915767e-06,0.0
MILD,PE O-18:2_22:0,True,5.849226620613857e-07,5.849226620613857e-07,0.0
MILD,PE O-18:2_22:2,True,0.0,0.0,0.0
MILD,PE O-18:2_22:3,False,0.0,0.0,0.0
MILD,PE O-18:2_22:4,False,0.0,0.0,0.0
MILD,PE O-18:2_22:5,False,1.8564222906953895e-05,1.8564222906953895e-05,0.0
MILD,PE O-18:2_22:6,True,5.131550505600969e-05,5.131550505600969e-05,0.0
MILD,PE O-18:3_22:0,True,1.5896968670285708e-06,1.5896968670285708e-06,0.0
MILD,PE O-18:3_22:5,False,1.0330772482951994e-05,1.0330772482951994e-05,0.0
MILD,PE O-18:3_22:6,True,0.0,0.0,0.0
MILD,PE O-20:0_18:2,True,5.157507811758715e-06,5.157507811758715e-06,0.0
MILD,PE O-20:0_20:2,False,2.596508867838587e-06,2.596508867838587e-06,0.0
MILD,PE O-20:1_18:2,False,3.117458540529789e-07,3.117458540529789e-07,0.0
MILD,PE O-20:2_20:3,False,2.2826099457679038e-07,2.2826099457679038e-07,0.0
MILD,PE O-20:2_20:4,True,3.9087060114047604e-08,3.9087060114047604e-08,0.0
MILD,PG 14:0_22:1,True,1.2613109430716862e-18,1.2613109430716862e-18,0.0
MILD,PG 14:0_22:3,False,1.5799702338861383e-07,1.5799702338861383e-07,0.0
MILD,PG 14:0_22:4,False,3.6037455516333895e-19,3.6037455516333895e-19,0.0
MILD,PG 16:0_20:1,True,1.3379837142782399e-06,1.3379837142782399e-06,0.0
MILD,PG 16:0_20:2,False,1.1454457500220701e-07,1.1454457500220701e-07,0.0
MILD,PG 16:0_20:3,True,2.9056792623825783e-08,2.9056792623825783e-08,0.0
MILD,PG 16:0_22:4,False,2.7244209733859825e-07,2.7244209733859825e-07,0.0
MILD,PG 16:0_22:5,True,0.0,0.0,0.0
MILD,PG 16:1_20:2,True,0.0,0.0,0.0
MILD,PG 16:1_20:3,False,0.0,0.0,0.0
MILD,PG 16:1_20:4,True,1.9547166903403568e-06,1.9547166903403568e-06,0.0
MILD,PG 17:0_17:0,True,2.884089101010703e-05,2.884089101010703e-05,0.0
MILD,PG 17:0_20:2,True,1.726494760920503e-06,1.726494760920503e-06,0.0
MILD,PG 17:0_20:3,False,1.7096233826733347e-06,1.7096233826733347e-06,0.0
MILD,PG 17:0_20:4,False,5.135593729843997e-07,5.135593729843997e-07,0.0
MILD,PG 17:0_20:5,True,0.0,0.0,0.0
MILD,PG 17:1_18:2,True,0.0015808966277790588,0.0015808966277790588,0.0
MILD,PG 17:1_20:1,False,8.810932391348591e-09,8.810932391348591e-09,0.0
MILD,PG 17:1_20:2,True,6.84269940094514e-08,6.84269940094514e-08,0.0
MILD,PG 17:1_20:4,False,3.213895515078806e-06,3.213895515078806e-06,0.0
MILD,PG 18:0_17:1,True,6.011864886821913e-06,6.011864886821913e-06,0.0
MILD,PG 18:0_18:1,False,0.0,0.0,0.0
MILD,PG 18:0_18:2,True,3.719741916069899e-06,3.719741916069899e-06,0.0
MILD,PG 18:0_18:3,True,5.0335288192311915e-06,5.0335288192311915e-06,0.0
MILD,PG 18:0_20:4,True,0.0,0.0,0.0
MILD,PG 18:0_20:5,False,3.0396547484229727e-06,3.0396547484229727e-06,0.0
MILD,PG 18:1_20:3,True,3.6037455516333895e-19,3.6037455516333895e-19,0.0
MILD,PG 18:1_20:4,False,2.826494926257116e-07,2.826494926257116e-07,0.0
MILD,PG 18:2_18:2,True,0.0,0.0,0.0
MILD,PG 18:2_20:2,False,2.2176691945372614e-06,2.2176691945372614e-06,0.0
MILD,PG 18:2_20:3,True,4.076341856791245e-06,4.076341856791245e-06,0.0
MILD,PG 18:3_20:4,True,3.6037455516333895e-19,3.6037455516333895e-19,0.0
MILD,PG 20:0_16:1,False,0.0,0.0,0.0
MILD,PG 20:0_17:1,True,2.213903556225154e-05,2.213903556225154e-05,0.0
MILD,PG 20:1_18:3,False,9.566292098304336e-08,9.566292098304336e-08,0.0
MILD,PG 20:2_18:3,True,0.0,0.0,0.0
MILD,PS 14:0_20:1,True,0.0002909273496917899,0.0002909273496917899,0.0
MILD,PS 16:0_18:0,True,0.00024190180645163907,0.00024190180645163907,0.0
MILD,PS 16:0_18:2,True,5.928902441520948e-06,5.928902441520948e-06,0.0
MILD,PS 16:0_20:0,True,0.0,0.0,0.0
MILD,PS 16:0_20:4,True,9.208863266961002e-06,9.208863266961002e-06,0.0
MILD,PS 16:1_18:1,True,1.9950862623763457e-05,1.9950862623763457e-05,0.0
MILD,PS 16:1_20:2,True,7.446793528805293e-05,7.446793528805293e-05,0.0
MILD,PS 17:0_18:2,True,0.002070645182677436,0.002070645182677436,0.0
MILD,PS 18:0_18:0,False,2.2951148872229625e-05,2.2951148872229625e-05,0.0
MILD,PS 18:0_18:1,True,7.640653914036409e-06,7.640653914036409e-06,0.0
MILD,PS 18:0_18:2,False,6.312731853660888e-08,6.312731853660888e-08,0.0
MILD,PS 18:1_18:1,True,4.5061982021607466e-05,4.5061982021607466e-05,0.0
MILD,PS 18:1_18:2,True,1.4543012328957631e-05,1.4543012328957631e-05,0.0
MILD,PS 18:2_18:2,True,1.9372376049906116e-05,1.9372376049906116e-05,0.0
