member_a_index,member_a_lipid_name,member_a_class,member_b_index,member_b_lipid_name,member_b_class,rank_feature_distance,matched_within_lipid_class,pair_ambiguity_score,matched_pair_id,selected_for_high129,selected_for_base76
119,PE 16:0_22:4,PE,200,PE 17:1_20:2,PE,0.13508605611502164,True,0.6509510869565218,150,True,True
13,PA 18:0_24:4,PA,39,PA 20:0_20:4,PA,0.39810710035198027,True,0.6520380434782609,151,True,False
57,PA 20:1_22:6,PA,62,PA 20:2_22:6,PA,0.18404684880951033,True,0.6566576086956522,152,True,True
181,PE 20:3_20:3,PE,254,PE O-18:2_22:2,PE,0.08171399431388525,True,0.6566576086956522,153,False,False
170,PE 20:0_20:3,PE,239,PE O-18:1_20:4,PE,0.041745357325372885,True,0.6589673913043479,154,True,False
3,PA 16:0_24:5,PA,15,PA 18:0_24:6,PA,0.2159257665795536,True,0.6595108695652174,155,True,True
116,PE 16:0_22:1,PE,173,PE 20:1_20:2,PE,0.2386861299775655,True,0.6610054347826086,156,False,False
121,PE 16:0_22:6,PE,199,PE 17:1_20:1,PE,0.10570791884624954,True,0.6620923913043479,157,True,True
149,PE 18:1_22:3,PE,162,PE 18:2_22:4,PE,0.1547482176619983,True,0.6654891304347826,158,True,False
227,PE O-18:0_20:3,PE,237,PE O-18:1_20:2,PE,0.05654525012686085,True,0.6668478260869566,159,False,False
284,PG 16:0_20:4,PG,303,PG 16:0_20:0,PG,0.43071509386614365,True,0.6705163043478262,160,True,True
216,PE O-16:1_22:2,PE,276,PE O-20:3_20:4,PE,0.07422011023775905,True,0.6709239130434782,161,True,False
242,PE O-18:1_22:2,PE,255,PE O-18:2_22:3,PE,0.08458903487105096,True,0.6730978260869565,162,True,True
296,PG 18:0_18:2,PG,324,PG 20:1_18:3,PG,0.4404144419419934,True,0.6777173913043478,163,False,False
123,PE 16:0_24:5,PE,188,PE 17:0_20:2,PE,0.2176840759528369,True,0.6783967391304349,164,True,False
160,PE 18:2_22:2,PE,182,PE 20:3_20:4,PE,0.07871058890195778,True,0.6820652173913043,165,True,True
40,PA 20:0_20:5,PA,46,PA 20:0_22:6,PA,0.03252366631409192,True,0.6851902173913043,166,False,False
287,PG 18:2_18:2,PG,319,PG 16:0_22:4,PG,0.09276021298205588,True,0.6854619565217391,167,True,True
249,PE O-18:2_20:2,PE,261,PE O-18:3_22:3,PE,0.15298454506990486,True,0.6858695652173913,168,True,False
295,PG 16:1_20:1,PG,299,PG 16:0_20:1,PG,0.3410623796116913,True,0.6964673913043478,169,False,False
231,PE O-18:0_22:2,PE,275,PE O-20:3_20:3,PE,0.1494812232551638,True,0.7002717391304347,170,True,True
272,PE O-20:2_20:2,PE,273,PE O-20:2_20:3,PE,0.012526554969147924,True,0.7025815217391305,171,True,False
167,PE 18:3_20:4,PE,202,PE 17:1_20:4,PE,0.2586022963631801,True,0.7073369565217392,172,True,True
190,PE 17:0_20:4,PE,201,PE 17:1_20:3,PE,0.08353492472249677,True,0.7076086956521739,173,False,False
297,PG 18:1_18:1,PG,321,PG 18:0_20:4,PG,0.08967391304347827,True,0.7078804347826086,174,True,True
138,PE 18:0_22:3,PE,174,PE 20:1_20:3,PE,0.044898672939832414,True,0.7184782608695652,175,True,False
184,PE 20:4_20:4,PE,193,PE 17:0_22:2,PE,0.4634446937534639,True,0.7203804347826087,176,False,False
289,PG 16:0_20:3,PG,294,PG 16:0_20:2,PG,0.10429261446954065,True,0.7239130434782609,177,True,True
243,PE O-18:1_22:3,PE,250,PE O-18:2_20:3,PE,0.05448352623848755,True,0.7279891304347825,178,True,False
218,PE O-16:1_22:4,PE,256,PE O-18:2_22:4,PE,0.052867055593325316,True,0.7285326086956522,179,False,False
148,PE 18:1_22:2,PE,157,PE 18:2_20:4,PE,0.17406158737750865,True,0.7410326086956522,180,True,True
156,PE 18:2_20:3,PE,178,PE 20:2_20:3,PE,0.3580182379701929,True,0.7463315217391304,181,True,False
120,PE 16:0_22:5,PE,130,PE 16:1_22:5,PE,0.16199846261727038,True,0.7489130434782609,182,False,False
129,PE 16:1_22:4,PE,177,PE 20:2_20:2,PE,0.22378917664017053,True,0.7716032608695653,183,True,True
