scope,score,threshold,n_retained,TP,FP,precision,FDR,all_truth_recall,reportable_truth_recall,coverage
POOLED,rho_zero,4.747012308108606e-12,281,281,0,1.0,0.0,0.6853658536585366,0.7919254658385093,0.5553359683794467
POOLED,rho_zero,4.6966643391892155e-12,282,282,0,1.0,0.0,0.6878048780487804,0.7919254658385093,0.5573122529644269
POOLED,rho_zero,2.208625116661904e-20,283,282,1,0.9964664310954063,0.0035335689045936395,0.6878048780487804,0.7919254658385093,0.5592885375494071
POOLED,rho_zero,1.92595867506159e-20,284,282,2,0.9929577464788732,0.007042253521126761,0.6878048780487804,0.7919254658385093,0.5612648221343873
POOLED,rho_zero,1.5204124374383368e-20,285,282,3,0.9894736842105263,0.010526315789473684,0.6878048780487804,0.7919254658385093,0.5632411067193676
POOLED,rho_zero,1.2734087840348301e-20,286,282,4,0.986013986013986,0.013986013986013986,0.6878048780487804,0.7919254658385093,0.5652173913043478
POOLED,rho_zero,1.092134558768206e-20,287,282,5,0.9825783972125436,0.017421602787456445,0.6878048780487804,0.7919254658385093,0.567193675889328
POOLED,rho_zero,9.73222897332654e-21,288,282,6,0.9791666666666666,0.020833333333333332,0.6878048780487804,0.7919254658385093,0.5691699604743083
POOLED,rho_zero,9.524382541632594e-21,289,282,7,0.9757785467128027,0.02422145328719723,0.6878048780487804,0.7919254658385093,0.5711462450592886
POOLED,rho_zero,9.214415818650207e-21,290,282,8,0.9724137931034482,0.027586206896551724,0.6878048780487804,0.7919254658385093,0.5731225296442688
POOLED,rho_zero,9.070572509099226e-21,291,282,9,0.9690721649484536,0.030927835051546393,0.6878048780487804,0.7919254658385093,0.575098814229249
POOLED,rho_zero,7.620857164600565e-21,292,282,10,0.9657534246575342,0.03424657534246575,0.6878048780487804,0.7919254658385093,0.5770750988142292
POOLED,rho_zero,6.540417853674667e-21,293,282,11,0.962457337883959,0.03754266211604096,0.6878048780487804,0.7919254658385093,0.5790513833992095
POOLED,rho_zero,5.537336156048898e-21,294,282,12,0.9591836734693877,0.04081632653061224,0.6878048780487804,0.7919254658385093,0.5810276679841897
POOLED,rho_zero,5.108338351410839e-21,295,282,13,0.9559322033898305,0.04406779661016949,0.6878048780487804,0.7919254658385093,0.5830039525691699
