source_identity,replacement_identity,replacement_gain,replacement_fraction,delta_residual_absorption,edge_presence_fraction,top_replacement_consistency,stable_edge,presence_persistent_edge
PS 14:0_22:2,PE O-20:0_20:4,3.0599751562896196e-06,0.0010989480635551021,1.188004658751729e-14,0.918918918918919,0.0,False,False
PS 14:0_22:2,PE O-20:1_20:4,6.829224907647924e-06,0.0024526223595037677,1.3279145883037807e-14,0.5135135135135135,0.0,False,False
PS 14:0_22:2,PE O-20:2_20:4,0.0,0.0,6.493682262804606e-15,0.4594594594594595,0.0,False,False
PS 14:0_22:2,PE O-20:3_20:4,3.648141772677471e-05,0.013101800282325335,8.948428664796911e-15,0.8918918918918919,0.0,False,False
PS 14:0_22:2,PG 14:0_20:0,2.294365905842208e-05,0.008239900131638516,6.396538569575078e-15,0.9459459459459459,0.0,False,False
PS 14:0_22:2,PG 14:0_22:4,0.0,0.0,0.013995462257656867,0.13513513513513514,0.08108108108108109,False,False
PS 14:0_22:2,PG 16:0_20:4,0.0,0.0,0.0053623057970270975,0.02702702702702703,0.0,False,False
PS 14:0_22:2,PG 16:1_20:3,0.0,0.0,1.4148107116505625e-15,0.02702702702702703,0.0,False,False
PS 14:0_22:2,PG 14:0_22:3,1.18183125382709e-05,0.004244384681269789,8.045490490548093e-15,1.0,0.0,False,True
PS 14:0_22:2,PG 14:0_22:2,0.0,0.0,0.016254158597251753,0.35135135135135137,0.05405405405405406,False,False
PS 14:0_22:2,PG 14:0_22:1,2.2557400596451282e-06,0.0008101180708396765,-5.696605805536684e-14,0.8918918918918919,0.0,False,False
PS 14:0_22:2,PG 14:0_22:0,8.076134041114236e-06,0.002900432654576072,-1.1999736977775678e-14,0.972972972972973,0.0,False,False
PS 14:0_22:2,PG 16:0_22:6,2.198878010589364e-05,0.007896968466440599,-2.8493988828970856e-13,1.0,0.0,False,True
PS 14:0_22:2,PG 18:1_20:4,0.0,0.0,0.014858087484980085,0.10810810810810811,0.0,False,False
