method,lipid_name,lipid_class,raw_solver_reported,X_hat,rho_zero,rho_status,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
NNLS,PE 18:2_22:6,PE,True,0.021366681413842244,0.0004130139298274248,CACHED_FULL_FOREGROUND,0.01142815830446086,0.16666666666666666,0.9864911490462113,True,True,True
NNLS,PE 20:0_18:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:1_18:3,PE,True,0.01836646584205381,0.0010242920961881655,CACHED_FULL_FOREGROUND,0.026776865945925297,0.5,0.9933538998251354,True,True,True
NNLS,PE 18:3_20:4,PE,False,0,,UNREPORTED,1.1945676581943735e-05,0.2,,False,False,False
NNLS,PE 18:3_22:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:3_22:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:0_20:3,PE,False,0,,UNREPORTED,-0.0017146294386793117,0.0,,False,False,False
NNLS,PE 20:0_20:4,PE,True,0.013904297290613613,6.51537327126405e-05,CACHED_FULL_FOREGROUND,0.05789058137028091,0.75,0.9981525244340356,True,True,True
NNLS,PE 20:0_20:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:1_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:1_20:3,PE,False,0,,UNREPORTED,-0.01346475179778749,0.0,,False,False,False
NNLS,PE 20:1_20:4,PE,True,0.006729687211451367,2.1422679909286225e-06,CACHED_FULL_FOREGROUND,0.006499452800225416,0.75,0.9071892295623488,True,True,False
NNLS,PE 20:1_20:5,PE,True,0.006514124286739287,,NOT_COMPUTED_ZERO_COEFFICIENT,0.030072020407301774,0.75,0.9667512725728795,True,True,True
NNLS,PE 20:2_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:2_20:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:2_20:4,PE,True,0.05492362311762392,0.0008389621084076506,CACHED_FULL_FOREGROUND,-0.01539410040469467,1.0,0.9519255723338829,True,True,False
NNLS,PE 20:2_20:5,PE,False,0,,UNREPORTED,0.0003308348937851179,0.25,,False,False,False
NNLS,PE 20:3_20:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:3_20:4,PE,True,0.004198975439347527,0.0,CACHED_FULL_FOREGROUND,3.0348793010522284e-05,0.5,0.6190482884294122,False,False,False
NNLS,PE 20:3_20:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 20:4_20:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
