mapping_slot,template_original_candidate_index,template_original_candidate_id_provenance_only,template_original_lipid_name_discarded,template_foreground_mean,truth_selection_position,synthetic_truth_candidate_index,synthetic_truth_candidate_id,synthetic_truth_lipid_name,synthetic_truth_lipid_class,difficulty_stratum,geometry_design_score_only,cone_isolation,max_parent_cosine,max_fragment_cosine,max_full_cosine
63,321,PG-H__0102,PG 18:0_20:4,0.0027067653831285873,18,46,PA-H__0209,PA 20:0_22:6,PA,Q4_highest_competition,0.7372122762148338,0.18342642508946627,1.0,0.9361340206999159,0.9226232034454928
64,323,PG-H__0104,PG 18:2_20:2,0.0021282280458019428,35,40,PA-H__0202,PA 20:0_20:5,PA,Q4_highest_competition,0.7311381074168798,0.18367672004065808,1.0,0.9361340206999159,0.9175683792240663
65,329,PG-H__0460,PG 17:0_20:1,0.004877012592005975,52,57,PA-H__0228,PA 20:1_22:6,PA,Q4_highest_competition,0.7058823529411764,0.23670331410171605,1.0,0.9753576763078726,0.8753112931195504
66,338,PG-H__0482,PG 17:1_20:1,0.0025246432852639067,69,358,PC+CH3COO__0057,PC 16:0_16:1,PC,Q4_highest_competition,0.6796675191815856,0.14078117259663253,0.9999999999999999,0.9182882348380778,0.9182880038412459
67,339,PG-H__0483,PG 17:1_20:2,0.001027884660910343,10,154,PE-H__0157,PE 20:1_18:2,PE,Q2_moderate_low_competition,0.5121483375959079,0.3477875659110764,1.0,0.8910754995054128,0.7708509875865739
68,349,PCO+HCOO__0082,PC O-16:1_16:1,0.005480474190915677,27,158,PE-H__0161,PE 18:2_20:5,PE,Q2_moderate_low_competition,0.5031969309462916,0.3650213504933583,0.9999999999999998,0.9631467226016989,0.8063714203716793
69,355,PC+CH3COO__0032,PC 14:0_18:0,0.013064874170262345,44,155,PE-H__0158,PE 18:2_20:2,PE,Q2_moderate_low_competition,0.49904092071611256,0.18632332063996887,0.9999999999999996,0.930785287256962,0.7430427070574672
70,375,PC+Cl__0219,PC 14:1_17:1,0.0014836530613080638,61,301,PG-H__0077,PG 18:0_18:1,PG,Q2_moderate_low_competition,0.501918158567775,0.22385302590484416,1.0,0.857321011866293,0.6334015594256638
71,378,PC+Cl__0231,PC 14:1_20:1,0.0010918874494828912,2,177,PE-H__0236,PE 20:2_20:2,PE,Q4_highest_competition,0.9047314578005116,0.13796437864051098,1.0,0.9885666181646524,0.9803192870333286
72,381,PC+Cl__0390,PC 16:0_18:0,0.0029140906919341543,19,347,PC+HCOO__0474,PC 14:0_17:1,PC,Q4_highest_competition,0.8356777493606138,0.09548835338967109,0.9999999999999998,0.9862392575672295,0.9862355283081914
73,382,PC+Cl__0391,PC 16:0_18:1,0.04736858283734614,36,356,PC+CH3COO__0033,PC 14:0_18:1,PC,Q4_highest_competition,0.7755754475703325,0.18245888828111903,1.0,0.9511016162675965,0.9510996937581305
74,385,PC+Cl__0797,PC 18:0_16:1,0.0010720296356095517,53,364,PCO+CH3COO__0475,PC O-16:0_17:1,PC,Q4_highest_competition,0.7583120204603581,0.10549498522907921,0.9999999999999999,0.9509393044395594,0.9509369379955512
75,389,PC+Cl__0658,PC 17:0_17:1,0.0010813103441311062,70,250,PEO-H__0180,PE O-18:2_20:3,PE,Q4_highest_competition,0.8721227621483376,0.15389249231375365,1.0,0.982213995160686,0.9807094412163158
