severity,lipid_name,contexts,raw_TP_contexts,solver_miss_contexts,filter_loss_contexts,loss_fraction_of_raw_TP,comparison_group,cone_isolation,max_fragment_cosine,collective_gain,full_spectral_change,fragment_spectral_change,achieved_dropout_rate
MILD,PE O-20:0_20:2,10,9,1,9,1.0,any_filter_loss,0.3574277360579778,0.9885666181646524,0.13364990366733687,0.0013632549085536017,0.0008270848205020886,0.14814814814814814
MILD,PE O-20:0_20:4,10,10,0,10,1.0,any_filter_loss,0.526269032993801,0.9845400250879618,0.03802391643362135,0.0021938309055087313,0.00017604092447076614,0.05263157894736842
MILD,PE O-20:1_20:2,10,10,0,10,1.0,any_filter_loss,0.1653451175229508,0.9857697500316058,0.0657556111825639,0.022925236368650403,0.023326231185886726,0.03225806451612903
MILD,PE O-20:1_20:3,10,10,0,10,1.0,any_filter_loss,0.20156572631951045,0.9834038435158862,0.040391770192754556,5.294427021595993e-05,2.361550169449611e-05,0.0
MILD,PE O-20:3_20:3,10,10,0,10,1.0,any_filter_loss,0.1678765453740962,0.9829060245747678,0.02838033431556483,0.0009170570347204476,0.0009176655325875416,0.11428571428571428
MILD,PG 14:0_22:5,10,10,0,10,1.0,any_filter_loss,0.3916326572569566,0.8740294125875786,0.3151168353722158,0.015233218820401295,0.028681124293445937,0.06976744186046512
MILD,PG 14:0_24:4,10,10,0,10,1.0,any_filter_loss,0.2364766144017557,0.9336814199983869,0.409000174620185,0.0003849632011037052,0.0011070667357394592,0.04819277108433735
MILD,PG 16:0_18:0,10,9,1,9,1.0,any_filter_loss,0.2730282086736678,0.7320003904966144,0.5284306072455749,0.006718608831998929,0.00921187438394766,0.05154639175257732
MILD,PG 16:0_20:2,10,10,0,10,1.0,any_filter_loss,0.06404391649487126,0.9219327136957365,0.1380284242110617,0.0001325419053186394,0.0004419274324660716,0.021739130434782608
MILD,PG 16:0_20:5,10,10,0,10,1.0,any_filter_loss,0.3586980333079263,0.7784577318028689,0.43367157561769326,0.0005535803503026182,0.0007745547809636655,0.03614457831325301
MILD,PG 16:0_22:6,10,10,0,10,1.0,any_filter_loss,0.42771565508602566,0.9755490303044848,0.17342901101082447,0.0035863246382661362,0.005133708069018583,0.046511627906976744
MILD,PG 16:1_20:1,10,9,1,9,1.0,any_filter_loss,0.09626468926765062,0.9360510343034749,0.032094009427904344,0.00014154946035849214,0.02162659342799489,0.022727272727272728
MILD,PG 16:1_22:5,10,10,0,10,1.0,any_filter_loss,0.33527002658239174,0.9821921171688058,0.16525580723594785,0.0013743626973785616,0.0016358418510322714,0.060240963855421686
MILD,PG 17:0_20:0,10,10,0,0,0.0,never_filter_loss,0.8310149974793403,0.9206618024583055,0.050880880759260116,0.003081353950645682,0.007454888958567052,0.08791208791208792
MILD,PG 17:0_20:3,10,10,0,10,1.0,any_filter_loss,0.15645235358917814,0.9898819477902964,0.24553643982354834,0.0011922815237459528,0.0006965114657125904,0.061855670103092786
MILD,PG 17:0_20:4,10,8,2,8,1.0,any_filter_loss,0.333380957182523,0.9887826418894832,0.3019228169112968,0.0009626592846555537,0.0006253799471490629,0.029411764705882353
MILD,PG 17:1_20:1,10,10,0,10,1.0,any_filter_loss,0.266391512522408,0.9726361074886047,0.01725447718424139,4.577721397003298e-05,0.0002219708024051581,0.034482758620689655
MILD,PG 17:1_20:4,10,9,1,9,1.0,any_filter_loss,0.4831275545644737,0.9853779862370524,0.22593740389897193,0.0021811563309734883,0.003555580182944329,0.02127659574468085
MILD,PG 18:0_20:5,10,9,1,9,1.0,any_filter_loss,0.3912132251385195,0.9850297730134422,0.3528221066303361,0.0008703065793419507,0.00036847638994674803,0.020833333333333332
MILD,PG 18:1_18:1,10,10,0,10,1.0,any_filter_loss,0.20074680321951024,0.9552207873236039,0.5335974465364102,0.001967807797006671,0.0008816908419428948,0.034482758620689655
MILD,PS 14:0_20:0,10,10,0,0,0.0,never_filter_loss,0.6390062445975,0.6039215648852556,0.16709168430356958,0.0027541471004010054,0.0027427701343425426,0.013888888888888888
MILD,PS 14:0_22:2,10,10,0,10,1.0,any_filter_loss,0.4826107446087538,0.6351598729298585,0.056673251273551106,0.002331991978609671,0.013828208191141056,0.07142857142857142
MILD,PS 16:0_20:5,10,10,0,10,1.0,any_filter_loss,0.4925110672748304,0.5885323920958705,0.2627774230424914,0.0034720204595677373,0.005312662972331572,0.02857142857142857
MILD,PS 16:1_20:1,10,10,0,0,0.0,never_filter_loss,0.4129541991564398,0.5415506422933887,0.12632979672586508,0.005809768621976241,0.013510185735995384,0.05405405405405406
MILD,PS 18:0_16:1,10,10,0,10,1.0,any_filter_loss,0.4974005788167513,0.5669019742880855,0.3372870145815912,0.007780393272455055,0.007796839687494228,0.014492753623188406
MILD,PS 18:0_18:0,10,10,0,5,0.5,any_filter_loss,0.4331045541325963,0.7822407069839156,0.19197976773862468,0.004926182990125705,0.004921859357551961,0.03773584905660377
MILD,PS 20:0_16:1,10,10,0,10,1.0,any_filter_loss,0.49681824282241865,0.5478869149773706,0.34409744001467496,0.059660803180161204,0.06023360124150534,0.06578947368421052
MILD,PA 16:0_24:4,5,3,2,3,1.0,any_filter_loss,0.2223063465458067,0.9171280506076233,0.17914163452145218,0.04338089176146531,0.04345848797882845,0.04
MILD,PA 18:0_24:6,5,5,0,5,1.0,any_filter_loss,0.1641748706562144,0.9374908882297373,0.19157325912956763,0.004642181796140066,0.004645773085514948,0.04878048780487805
MILD,PA 18:1_24:1,5,5,0,5,1.0,any_filter_loss,0.4394175718623714,0.7742897189559598,0.30213238364332506,0.000759699939821834,0.0008438388853387879,0.015151515151515152
MILD,PA 18:1_24:6,5,5,0,5,1.0,any_filter_loss,0.25854770171004793,0.8317569743542244,0.311757671286486,0.010835595411361254,0.010851465233581492,0.07407407407407407
MILD,PA 18:2_24:4,5,5,0,5,1.0,any_filter_loss,0.33277246997096527,0.6495701338678831,0.4330785336890039,0.0039133891856287795,0.003868713351689035,0.07058823529411765
MILD,PA 18:2_24:5,5,4,1,4,1.0,any_filter_loss,0.30902833514416345,0.8083196183923326,0.2868943377666932,0.004081604352916046,0.004077549062661889,0.06329113924050633
MILD,PA 20:0_20:2,5,0,5,0,,no_raw_TP,0.2807555140432376,0.7492730089935543,0.49169235917013354,0.001564770493217682,0.0014533126063535073,0.04054054054054054
MILD,PA 20:0_22:6,5,5,0,5,1.0,any_filter_loss,0.18342642508946627,0.9361340206999159,0.20227608263374897,0.004776696328855912,0.004726570921992357,0.07142857142857142
MILD,PA 20:1_22:5,5,5,0,5,1.0,any_filter_loss,0.22030580527220145,0.8930555529932804,0.2632540567277174,0.0030627099534888957,0.0029952224810618766,0.0125
MILD,PA 20:3_22:4,5,5,0,5,1.0,any_filter_loss,0.402579539322542,0.7488776965339671,0.3030548023026991,0.0032054403866504932,0.003222308663755058,0.09302325581395349
MILD,PA 22:0_18:2,5,5,0,5,1.0,any_filter_loss,0.34226134747101367,0.761776416520081,0.4474985059635067,0.0030674863975856947,0.0028834133419998187,0.0547945205479452
MILD,PA 22:0_20:3,5,5,0,5,1.0,any_filter_loss,0.4070101497165706,0.700138513759436,0.38977747877753405,0.009922850596979504,0.01301240678684945,0.02631578947368421
MILD,PC 14:0_20:2,5,5,0,5,1.0,any_filter_loss,0.3254331442131747,0.6041425983942957,0.4715533114037237,0.007462943955335866,0.007518058498400038,0.05
MILD,PC 16:0_18:2,5,5,0,5,1.0,any_filter_loss,0.3131917397743864,0.5996238721920917,0.4899091295507795,0.06290873847509104,0.06290881606687038,0.05747126436781609
MILD,PC O-16:0_17:0,5,5,0,0,0.0,never_filter_loss,0.7536429126805174,0.6594747873316874,0.016839149861247793,0.0021199241046659933,0.002119924212811153,0.0
MILD,PC O-16:1_18:1,5,5,0,0,0.0,never_filter_loss,0.8076497414228311,0.6052609717953458,0.02991086558637346,0.0011780312079956445,0.0011619748561649823,0.08571428571428572
