dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__HOLD_R2_K125,D0,125,HOLD,R2,435,PEO-H__0235,PE O-20:0_20:2,PE,3.110735808393775e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,436,PEO-H__0236,PE O-20:0_20:3,PE,0.0011722982582175936,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,437,PEO-H__0237,PE O-20:0_20:4,PE,0.0028015215668996583,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,438,PEO-H__0238,PE O-20:0_20:5,PE,0.0004896978437461257,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,439,PEO-H__0257,PE O-20:1_18:0,PE,0.008188418826795316,7.291508736207224e-28,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,440,PEO-H__0258,PE O-20:1_18:1,PE,0.0010119259608464826,9.81671157988923e-25,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,441,PEO-H__0259,PE O-20:1_18:2,PE,0.0022201681564098133,7.184622594518896e-23,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,442,PEO-H__0260,PE O-20:1_18:3,PE,0.013316970365999445,2.8122833518172915e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,443,PEO-H__0261,PE O-20:1_20:0,PE,0.03738399365200442,9.44182394572492e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,444,PEO-H__0262,PE O-20:1_20:1,PE,0.008440305652373766,7.892921373051072e-09,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,445,PEO-H__0263,PE O-20:1_20:2,PE,0.00261838381163459,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,446,PEO-H__0264,PE O-20:1_20:3,PE,0.01783348690729468,2.473570326920518e-10,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,447,PEO-H__0265,PE O-20:1_20:4,PE,0.001416652766572549,1.962900146845621e-26,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,448,PEO-H__0266,PE O-20:1_20:5,PE,0.008655758266025588,5.6806999179514925e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,449,PEO-H__0285,PE O-20:2_18:0,PE,0.004231172395359082,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,450,PEO-H__0286,PE O-20:2_18:1,PE,0.000896987591851641,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,451,PEO-H__0287,PE O-20:2_18:2,PE,0.0023922043369521587,8.432488297028777e-28,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,452,PEO-H__0288,PE O-20:2_18:3,PE,0.0011521796887532594,2.2232979757302585e-27,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,453,PEO-H__0289,PE O-20:2_20:0,PE,0.0012285780255787305,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,454,PEO-H__0290,PE O-20:2_20:1,PE,0.003666611132235518,2.69587633294607e-29,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,455,PEO-H__0291,PE O-20:2_20:2,PE,0.0007268492156994709,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,456,PEO-H__0292,PE O-20:2_20:3,PE,0.011710633752967008,7.450483687154614e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,457,PEO-H__0293,PE O-20:2_20:4,PE,0.0039080484906404145,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,458,PEO-H__0294,PE O-20:2_20:5,PE,0.0006175900783491101,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,459,PEO-H__0313,PE O-20:3_18:0,PE,0.0007454714556209668,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,460,PEO-H__0314,PE O-20:3_18:1,PE,0.001125396389827501,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,461,PEO-H__0315,PE O-20:3_18:2,PE,0.00557100908033821,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,462,PEO-H__0316,PE O-20:3_18:3,PE,0.01312107392684882,9.767644679647576e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,463,PEO-H__0317,PE O-20:3_20:0,PE,0.0008857380956104106,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,464,PEO-H__0318,PE O-20:3_20:1,PE,0.008190218729992257,4.710956621351847e-34,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,465,PEO-H__0319,PE O-20:3_20:2,PE,0.00038264968112545366,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,466,PEO-H__0320,PE O-20:3_20:3,PE,0.005762612624751678,8.73849177080528e-10,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,467,PEO-H__0321,PE O-20:3_20:4,PE,0.001970929576608019,1.6202550139702783e-30,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,468,PEO-H__0322,PE O-20:3_20:5,PE,0.00049978694028739,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,469,PEO-H__0341,PE O-20:4_18:0,PE,0.008682913421487207,2.202803939456172e-24,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,470,PEO-H__0342,PE O-20:4_18:1,PE,0.0007804323030863057,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,471,PEO-H__0343,PE O-20:4_18:2,PE,0.004642891187396268,2.2870133901106755e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,472,PEO-H__0345,PE O-20:4_20:0,PE,0.002958548579703552,5.896484558303776e-29,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,473,PEO-H__0346,PE O-20:4_20:1,PE,0.0005331013256911297,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,474,PEO-H__0347,PE O-20:4_20:2,PE,0.0004487008677610691,,NOT_COMPUTED,False,False,False,False
