dataset_id,lipid_name,K,replicate,truth,reportable_truth,clean_raw,mild_raw,clean_rho,mild_rho,clean_X_hat,mild_X_hat,clean_at_clean,clean_at_mild,mild_at_clean,mild_at_mild,score_direction,cone_isolation,max_fragment_cosine
HOLD_R1_K050,PC 16:1_16:1,50,R1,False,False,False,False,,,8.20740705156568e-06,6.567353567569121e-06,False,False,False,False,not_jointly_reported,0.5387988106372762,0.6371790012593744
HOLD_R1_K050,PC 16:1_18:1,50,R1,True,True,True,True,7.864418906740468e-05,4.6791699396910564e-05,0.047216828992708855,0.04831776867093783,True,True,True,True,down,0.3710824945274597,0.6900215947371616
HOLD_R1_K050,PC 16:1_18:2,50,R1,False,False,False,False,,,0.0,1.4119706135345758e-06,False,False,False,False,not_jointly_reported,0.6451321224456396,0.494520891089959
HOLD_R1_K050,PC 17:0_17:0,50,R1,False,False,False,False,,,0.0,6.110240690124454e-05,False,False,False,False,not_jointly_reported,0.3349749352720744,0.807407271036795
HOLD_R1_K050,PC 17:0_17:1,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,0.3922836268459849,0.6138364929282721
HOLD_R1_K050,PC 17:1_17:1,50,R1,False,False,False,False,,,7.902398039084338e-08,0.0,False,False,False,False,not_jointly_reported,0.32843304652277755,0.6440510617032883
HOLD_R1_K050,PC 18:0_14:1,50,R1,False,False,False,False,,,0.00010333969894018006,8.81645539511316e-05,False,False,False,False,not_jointly_reported,0.5302390072873353,0.615682288510722
HOLD_R1_K050,PC 18:0_16:1,50,R1,False,False,False,True,,6.73205861770623e-07,0.0009449851911652066,0.0010727899794189615,False,False,True,False,not_jointly_reported,0.39177303368002603,0.6110147415354648
HOLD_R1_K050,PC 20:0_14:1,50,R1,True,True,True,True,2.4137721742595904e-05,1.1803156405601597e-05,0.01660429399776681,0.018858170284672675,True,True,True,False,down,0.593367589246976,0.47707361889437966
HOLD_R1_K050,PC O-16:0_16:1,50,R1,False,False,False,False,,,1.1105978282617986e-05,5.432273710124815e-05,False,False,False,False,not_jointly_reported,"{""348"": 0.5447177151365321, ""360"": 0.19936849220098288}","{""348"": 0.8386212253764069, ""360"": 0.8386212253764069}"
HOLD_R1_K050,PC O-16:0_17:0,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,0.7536429126805174,0.6594747873316874
HOLD_R1_K050,PC O-16:0_17:1,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,"{""354"": 0.21989783570473154, ""364"": 0.10549498522907921}","{""354"": 0.9509393044395594, ""364"": 0.9509393044395594}"
HOLD_R1_K050,PC O-16:1_16:1,50,R1,False,False,False,False,,,9.213648491015264e-05,0.000280040633843983,False,False,False,False,not_jointly_reported,"{""349"": 0.511873624201587, ""361"": 0.1949832272390983}","{""349"": 0.8591092264429544, ""361"": 0.8591092264429544}"
HOLD_R1_K050,PC O-16:1_17:0,50,R1,False,False,False,False,,,0.0,6.0224484865212716e-05,False,False,False,False,not_jointly_reported,"{""353"": 0.10392782718246293, ""363"": 0.19601713649372615}","{""353"": 0.9363920658827259, ""363"": 0.9363920658827259}"
HOLD_R1_K050,PC O-16:1_17:1,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,0.5790731778499716,0.7915991695954587
HOLD_R1_K050,PC O-16:1_18:0,50,R1,False,False,False,False,,,4.57548939598181e-07,0.0,False,False,False,False,not_jointly_reported,0.578408761742055,0.8511856151913196
HOLD_R1_K050,PC O-16:1_18:1,50,R1,False,False,False,False,,,1.078526289258663e-06,2.3470586357091513e-07,False,False,False,False,not_jointly_reported,0.8076497414228311,0.6052609717953458
HOLD_R1_K050,PC O-16:1_18:2,50,R1,False,False,False,False,,,7.907161753759463e-09,0.0,False,False,False,False,not_jointly_reported,0.905898646108516,0.4240431892510307
HOLD_R1_K050,PE 16:0_22:1,50,R1,True,True,True,True,2.556064437232558e-05,3.0134354793949973e-05,0.027473154824819514,0.03134065783963725,True,True,True,True,up,0.20454583643989277,0.8508967724619106
HOLD_R1_K050,PE 16:0_22:2,50,R1,True,True,True,True,3.936054332777941e-05,4.2483496007997045e-05,0.02370120427972356,0.025309739107499833,True,True,True,True,up,0.1886425381510025,0.8572487991575071
HOLD_R1_K050,PE 16:0_22:3,50,R1,False,False,True,True,3.336485788650553e-22,3.632912569022838e-07,0.003978890426891292,0.004990093215071834,False,False,True,False,up,0.17057139729731954,0.8795843067259717
HOLD_R1_K050,PE 16:0_22:4,50,R1,False,False,True,True,0.0,1.856918033469656e-07,0.008346194754871174,0.009459926160741565,False,False,True,False,up,0.15895469448868532,0.9923755383909935
HOLD_R1_K050,PE 16:0_22:5,50,R1,False,False,True,True,0.0,2.0950833904281145e-08,0.008478111943409035,0.010427412471700755,False,False,True,False,up,0.20118322550403206,0.989185985750406
HOLD_R1_K050,PE 16:0_22:6,50,R1,False,False,True,True,0.0,3.1526509149335992e-06,0.007351837570780926,0.008274811320268725,False,False,True,False,up,0.314182126552006,0.9755490303044848
